N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"65,200",900,-1.36%,100,"3,892,298","5,969,783",51.01,"9,051,322",11.29,13.92,
2,LG에너지솔루션,"408,500","15,000",-3.54%,500,"955,890","234,000",3.03,"645,838",103.08,10.68,
3,SK하이닉스,"108,000","3,000",-2.70%,"5,000","786,243","728,002",49.82,"1,880,681",8.19,16.84,
4,삼성바이오로직스,"801,000","3,000",-0.37%,"2,500","529,982","66,165",10.44,"12,822",136.27,8.21,
5,삼성전자우,"58,000","1,200",-2.03%,100,"477,274","822,887",72.77,"903,559",10.04,N/A,
6,NAVER,"281,000","6,000",-2.09%,100,"460,978","164,049",54.17,"292,774",2.80,106.72,
7,현대차,"188,000","1,000",+0.53%,"5,000","401,696","213,668",26.86,"476,784",10.53,6.84,
8,카카오,"88,600","1,600",-1.77%,100,"395,396","446,270",28.75,"628,577",28.29,17.10,
9,삼성SDI,"573,000","8,000",-1.38%,"5,000","394,021","68,765",43.13,"108,085",34.47,8.45,
10,기아,"83,700",200,+0.24%,"5,000","339,289","405,363",34.80,"1,055,701",7.13,14.69,
11,LG화학,"460,000","15,000",-3.16%,"5,000","324,725","70,592",48.44,"120,466",9.81,18.47,
12,셀트리온,"172,500","4,500",+2.68%,"1,000","242,687","140,688",19.70,"542,767",42.17,15.81,
13,POSCO홀딩스,"277,500","6,500",-2.29%,"5,000","241,943","87,187",52.93,"148,684",3.66,13.97,
14,KB금융,"58,300","1,700",-2.83%,"5,000","240,402","412,352",72.85,"462,976",5.50,9.80,
15,신한지주,"40,950",750,-1.80%,"5,000","211,548","516,600",62.14,"527,996",5.44,8.80,
16,카카오뱅크,"42,350",900,-2.08%,"5,000","201,669","476,196",15.83,"293,253",90.69,4.91,
17,삼성물산,"107,500","1,000",-0.92%,100,"200,904","186,887",15.69,"82,476",12.39,5.40,
18,LG전자,"120,500","1,000",-0.82%,"5,000","197,196","163,648",27.89,"212,801",21.12,6.32,
19,SK이노베이션,"209,500","5,500",-2.56%,"5,000","193,715","92,466",24.06,"127,628",64.46,1.91,
20,현대모비스,"203,500","1,500",-0.73%,"5,000","192,456","94,573",34.12,"122,398",8.20,6.87,
21,SK,"257,500","4,500",-1.72%,200,"190,935","74,149",21.44,"59,453",9.31,10.19,
22,카카오페이,"112,500","3,500",-3.02%,500,"148,994","132,439",42.56,"61,527",-568.18,-2.45,
23,하나금융지주,"46,050","1,200",-2.54%,"5,000","138,261","300,242",71.34,"525,978",3.92,10.86,
24,LG생활건강,"882,000","14,000",-1.56%,"5,000","137,752","15,618",40.25,"22,166",18.50,16.65,
25,한국전력,"21,100",250,-1.17%,"5,000","135,454","641,964",14.60,"485,550",-2.55,-7.99,
26,두산에너빌리티,"20,600",100,+0.49%,"5,000","130,207","632,071",9.39,"1,918,798",20.08,10.67,
27,HMM,"26,350",800,-2.95%,"5,000","128,862","489,039",9.97,"926,017",1.92,88.62,
28,현대중공업,"144,500","4,000",+2.85%,"5,000","128,277","88,773",4.60,"129,374",-13.55,-14.87,
29,삼성생명,"63,200","1,600",-2.47%,500,"126,400","200,000",12.77,"108,381",8.60,4.01,
30,SK텔레콤,"57,200","1,800",-3.05%,100,"125,173","218,833",47.54,"436,028",8.36,13.63,
31,S-Oil,"106,500","4,000",+3.90%,"2,500","119,901","112,583",80.15,"203,220",9.01,21.76,
32,삼성전기,"160,000","2,500",-1.54%,"5,000","119,510","74,694",27.97,"270,155",13.91,14.29,
33,크래프톤,"238,500","10,000",-4.02%,100,"117,037","49,072",28.82,"79,663",20.84,17.86,
34,KT&G,"81,500",600,-0.73%,"5,000","111,893","137,292",37.58,"77,716",11.45,10.74,
35,우리금융지주,"15,350",350,-2.23%,"5,000","111,757","728,061",35.49,"1,111,534",4.30,10.59,
36,LG,"71,000","1,700",-2.34%,"5,000","111,684","157,301",36.44,"94,970",4.58,12.36,
37,고려아연,"584,000","6,000",-1.02%,"5,000","110,201","18,870",20.05,"15,358",13.66,11.07,
38,SK바이오사이언스,"142,500","5,000",+3.64%,500,"109,417","76,784",4.77,"595,181",29.52,38.08,
39,하이브,"258,000","2,500",-0.96%,500,"106,692","41,353",15.41,"102,366",71.55,6.83,
40,삼성에스디에스,"136,000",0,0.00%,500,"105,234","77,378",12.76,"62,772",17.22,8.80,
41,대한항공,"29,750",550,-1.82%,"5,000","103,477","347,821",13.44,"837,126",15.62,11.60,
42,포스코케미칼,"131,500",500,+0.38%,500,"101,864","77,463",6.33,"177,769",74.59,7.92,
43,삼성화재,"204,000","3,000",-1.45%,500,"96,645","47,375",49.03,"30,077",9.19,7.09,
44,아모레퍼시픽,"162,500","1,500",+0.93%,500,"95,051","58,493",26.62,"113,495",57.91,4.20,
45,SK아이이테크놀로지,"130,000","1,000",-0.76%,"1,000","92,687","71,298",9.53,"130,226",93.32,5.57,
46,KT,"35,300",350,-0.98%,"5,000","92,172","261,112",42.06,"554,843",6.79,9.36,
47,엔씨소프트,"409,500","10,500",-2.50%,500,"89,902","21,954",42.03,"44,909",22.65,12.62,
48,LG이노텍,"358,500","12,000",-3.24%,"5,000","84,847","23,667",25.78,"139,364",9.55,30.94,
49,기업은행,"11,000",200,-1.79%,"5,000","81,873","744,301",14.76,"966,387",3.63,9.21,
50,넷마블,"94,600","3,600",-3.67%,100,"81,312","85,954",22.71,"110,009",33.85,4.29,
