선수,연도,팀,연봉(만원),WAR
이대호,2020,롯데,250000,1.142
양현종,2020,KIA,230000,2.522
박병호,2020,넥센,200000,
양의지,2020,NC,200000,6.325
손아섭,2020,롯데,200000,4.151
최형우,2020,KIA,150000,5.71
김현수,2020,LG,130000,5.373
이재원,2020,SK,130000,-0.576
민병헌,2020,롯데,125000,-1.295
강민호,2020,삼성,125000,3.174
최정,2020,SK,120000,5.09
오승환,2020,삼성,120000,2.624
황재균,2020,kt,120000,5.147
김태균,2020,한화,100000,-0.391
차우찬,2020,LG,100000,0.212
로하스,2020,kt,100000,7.954
루친스키,2020,NC,100000,5.595
로맥,2020,SK,90000,3.928
윌슨,2020,LG,90000,1.098
켈리,2020,LG,90000,4.26
알테어,2020,NC,80000,4.225
브리검,2020,넥센,80000,
정우람,2020,한화,80000,1.229
박용택,2020,LG,80000,0.386
박석민,2020,NC,70000,4.057
서폴드,2020,,70000,
정근우,2020,LG,70000,-0.762
우규민,2020,삼성,70000,-0.032
김재환,2020,두산,65000,3.756
가뇽,2020,KIA,65000,2.84
김재호,2020,두산,65000,2.017
쿠에바스,2020,kt,60000,2.638
오지환,2020,LG,60000,5.61
뷰캐넌,2020,삼성,60000,4.682
나지완,2020,KIA,60000,2.265
호잉,2020,한화,55000,-0.702
요키시,2020,넥센,55000,
터커,2020,KIA,55000,4.31
박민우,2020,NC,52000,5.005
전준우,2020,롯데,50000,3.134
킹엄,2020,SK,50000,-0.323
이택근,2020,넥센,50000,
유한준,2020,kt,50000,0.521
라이블리,2020,삼성,50000,2.656
이성열,2020,한화,50000,-1.018
나성범,2020,NC,50000,5.158
스트레일리,2020,롯데,50000,7.534
정상호,2020,SSG,50000,
허경민,2020,두산,48000,3.745
브룩스,2020,KIA,47900,7.158
오재일,2020,두산,47000,3.361
유희관,2020,두산,47000,0.152
박건우,2020,두산,45000,4.122
김선빈,2020,KIA,45000,2.64
데스파이네,2020,kt,45000,3.209
알칸타라,2020,두산,45000,8.313
이용찬,2020,두산,42000,-0.543
김민성,2020,LG,40000,1.105
윤성환,2020,삼성,40000,-0.159
이용규,2020,한화,40000,1.222
페르난데스,2020,두산,40000,4.46
이현승,2020,두산,40000,0.25
채드벨,2020,한화,40000,0.162
박경수,2020,kt,40000,2.983
김주찬,2020,KIA,40000,-0.016
이정후,2020,넥센,39000,
최원태,2020,넥센,37000,
김강민,2020,SK,35000,1.241
안영명,2020,한화,35000,0.289
서건창,2020,넥센,35000,
정수빈,2020,두산,34000,3.395
채은성,2020,LG,32000,2.499
김하성,2020,넥센,32000,
정의윤,2020,SK,30000,-0.795
오재원,2020,두산,30000,0.386
김상수,2020,넥센,30000,
이원석,2020,삼성,30000,0.688
박해민,2020,삼성,30000,4.03
이지영,2020,넥센,30000,
장원준,2020,두산,30000,-0.383
모창민,2020,NC,30000,0.236
마차도,2020,롯데,30000,4.536
라모스,2020,LG,30000,4.779
한현희,2020,넥센,29000,
안치홍,2020,롯데,29000,1.536
박종훈,2020,SK,29000,1.898
백정현,2020,삼성,28000,0.102
이천웅,2020,LG,28000,0.296
구자욱,2020,삼성,28000,4.184
이재학,2020,NC,27500,-0.498
최주환,2020,두산,27000,3.628
이영하,2020,두산,27000,2.018
송은범,2020,LG,27000,0.846
원종현,2020,NC,26000,1.092
문승원,2020,SK,25700,3.822
한유섬,2020,SK,25000,1.277
송광민,2020,한화,25000,-0.001
진해수,2020,LG,25000,0.576
김상수,2020,삼성,25000,2.917
김태훈,2020,SK,24000,-0.444
추신수,2021,SSG,270000,3.287
이대호,2021,롯데,250000,1.107
박병호,2021,넥센,200000,
손아섭,2021,롯데,200000,2.686
양의지,2021,NC,200000,5.721
최형우,2021,KIA,150000,0.243
김현수,2021,LG,130000,3.129
이재원,2021,SSG,130000,1.444
강민호,2021,삼성,125000,3.878
황재균,2021,kt,120000,2.406
최정,2021,SSG,120000,6.504
오승환,2021,삼성,120000,3.032
알테어,2021,NC,110000,4.897
브룩스,2021,KIA,100000,2.064
차우찬,2021,LG,100000,-0.077
루친스키,2021,NC,100000,4.483
로맥,2021,SSG,90000,1.487
켈리,2021,LG,90000,4.962
스트레일리,2021,롯데,90000,3.021
브리검,2021,넥센,90000,
폰트,2021,SSG,85000,2.941
호잉,2021,kt,80000,1.394
정우람,2021,한화,80000,-0.303
우규민,2021,삼성,70000,1.021
박석민,2021,NC,70000,1.514
터커,2021,KIA,70000,0.425
김재호,2021,두산,65000,0.116
김재환,2021,두산,65000,3.823
나지완,2021,KIA,60000,-0.639
쿠에바스,2021,kt,60000,1.943
다카하시,2021,KIA,60000,0.365
라모스,2021,LG,60000,0.576
오지환,2021,LG,60000,3.654
뷰캐넌,2021,삼성,60000,4.551
미란다,2021,두산,55000,7.086
프레이타스,2021,넥센,55000,
르위키,2021,SSG,55000,0.323
요키시,2021,넥센,55000,
알몬테,2021,kt,52500,0.42
박민우,2021,NC,52000,0.816
전준우,2021,롯데,50000,4.293
힐리,2021,한화,50000,0.962
스미스,2021,넥센,50000,
스트레일리,2021,롯데,50000,3.021
나성범,2021,NC,50000,4.065
유한준,2021,kt,50000,1.793
민병헌,2021,롯데,50000,-0.487
라이블리,2021,삼성,50000,0.661
킹험,2021,한화,50000,
피렐라,2021,삼성,50000,2.961
마차도,2021,롯데,50000,3.252
로켓,2021,두산,49300,4.096
허경민,2021,두산,48000,1.349
오재일,2021,삼성,47000,3.028
박건우,2021,두산,45000,4.509
김선빈,2021,KIA,45000,2.965
몽고메리,2021,삼성,45000,0.215
데스파이네,2021,kt,45000,4.012
멩덴,2021,KIA,42500,3.089
이성열,2021,한화,40000,-0.226
수아레즈,2021,LG,40000,4.435
박경수,2021,kt,40000,0.459
이현승,2021,두산,40000,0.974
이용규,2021,넥센,40000,
김민성,2021,LG,40000,1.619
페르난데스,2021,두산,40000,2.88
이정후,2021,넥센,39000,
크레익,2021,넥센,37100,
최원태,2021,넥센,37000,
김강민,2021,SSG,35000,1.077
안영명,2021,kt,35000,0.514
서건창,2021,넥센,35000,
정수빈,2021,두산,34000,1.425
조상우,2021,넥센,33000,
파슨스,2021,NC,32000,3.714
채은성,2021,LG,32000,2.773
페레즈,2021,한화,30000,0.779
정의윤,2021,SSG,30000,-0.399
보어,2021,LG,30000,-0.475
이지영,2021,넥센,30000,
모창민,2021,NC,30000,-0.162
카펜터,2021,한화,30000,2.014
장원준,2021,두산,30000,-0.253
김상수,2021,SSG,30000,0.321
유희관,2021,두산,30000,-1.485
이원석,2021,삼성,30000,0.949
오재원,2021,두산,30000,-0.548
박해민,2021,삼성,30000,3.942
안치홍,2021,롯데,29000,2.786
박종훈,2021,SSG,29000,1.611
한현희,2021,넥센,29000,
구자욱,2021,삼성,28000,5.903
백정현,2021,삼성,28000,5.275
이천웅,2021,LG,28000,0.135
심창민,2021,삼성,28000,0.157
이재학,2021,NC,27500,0.526
이영하,2021,두산,27000,-0.28
최주환,2021,SSG,27000,2.594
송은범,2021,LG,27000,0.431
원종현,2021,NC,26000,0.911
추신수,2022,SSG,270000,0.148
구자욱,2022,삼성,250000,-0.081
한유섬,2022,SSG,240000,1.879
나성범,2022,KIA,200000,1.308
박건우,2022,NC,190000,0.93
박종훈,2022,SSG,180000,
루친스키,2022,NC,160000,1.798
미란다,2022,두산,160000,0.075
문승원,2022,SSG,160000,
오승환,2022,삼성,160000,0.076
손아섭,2022,NC,150000,0.226
김현수,2022,LG,150000,1.115
김광현,2022,SSG,150000,1.606
김재환,2022,두산,150000,0.311
최정,2022,SSG,120000,1.291
허경민,2022,두산,120000,0.859
폰트,2022,SSG,110000,1.126
뷰캐넌,2022,삼성,110000,0.653
이재원,2022,SSG,100000,-0.415
안치홍,2022,롯데,100000,0.915
양현종,2022,KIA,100000,0.936
양의지,2022,NC,100000,0.246
최재훈,2022,한화,100000,0.462
최형우,2022,KIA,90000,0.386
켈리,2022,LG,90000,0.442
요키시,2022,넥센,90000,
이대호,2022,롯데,80000,0.722
쿠에바스,2022,kt,80000,0.345
정우람,2022,한화,80000,0.068
백정현,2022,삼성,80000,-0.53
이정후,2022,넥센,75000,
노바,2022,SSG,75000,-0.432
수아레즈,2022,삼성,70000,0.442
데스파이네,2022,kt,70000,0.188
터크먼,2022,한화,70000,1.591
킹험,2022,한화,70000,
푸이그,2022,넥센,70000,
박석민,2022,NC,70000,
최주환,2022,SSG,65000,-0.357
라모스,2022,kt,65000,0.291
피렐라,2022,삼성,60000,1.787
크론,2022,SSG,60000,0.321
루이즈,2022,LG,60000,0.197
박병호,2022,kt,60000,0.883
오지환,2022,LG,60000,0.759
페르난데스,2022,두산,60000,0.557
박해민,2022,LG,60000,0.154
강민호,2022,삼성,60000,-0.127
정수빈,2022,두산,60000,0.2
오재일,2022,삼성,60000,0.036
피터스,2022,롯데,60000,0.117
정훈,2022,롯데,55000,0.15
강백호,2022,kt,55000,
장성우,2022,kt,50000,0.855
플럿코,2022,LG,50000,0.399
김재호,2022,두산,50000,-0.516
스파크맨,2022,롯데,50000,-0.062
소크라테스,2022,KIA,50000,0.555
전준우,2022,롯데,50000,0.255
반즈,2022,롯데,46538,2.012
김선빈,2022,KIA,45000,1.135
파슨스,2022,NC,44000,0.062
마티니,2022,NC,44000,0.681
박민우,2022,NC,41000,
황재균,2022,kt,40000,1.262
스탁,2022,두산,40000,1.55
이용규,2022,넥센,40000,
이용찬,2022,NC,40000,0.39
양석환,2022,두산,39000,0.333
카펜터,2022,한화,35000,0.241
놀린,2022,KIA,35000,0.14
최원준,2022,두산,34000,0.491
김혜성,2022,넥센,32000,
홍창기,2022,LG,32000,0.484
박동원,2022,넥센,31000,
최원태,2022,넥센,31000,
로니,2022,KIA,30000,0.007
고영표,2022,kt,30000,1.116
진해수,2022,LG,30000,0.563
박세혁,2022,두산,30000,-0.413
원태인,2022,삼성,30000,0.163
이지영,2022,넥센,30000,
이원석,2022,삼성,30000,0.261
김상수,2022,SSG,30000,-0.128
차우찬,2022,LG,30000,
오재원,2022,두산,30000,-0.174
주권,2022,kt,29500,0.322
박경수,2022,kt,29000,-0.115
김재윤,2022,kt,28000,-0.07
심창민,2022,NC,28000,-0.321
정우영,2022,LG,28000,0.722
정찬헌,2022,넥센,28000,
채은성,2022,LG,28000,0.208
김원중,2022,롯데,28000,0.047
애플러,2022,넥센,27500,
원종현,2022,NC,27000,0.059
유강남,2022,LG,27000,0.532
배제성,2022,kt,27000,-0.009
고우석,2022,LG,27000,0.687
서건창,2022,LG,26000,-0.237
